antecedent,consequent,support,confidence,lift
['7'],['33'],0.08085532910123622,0.32439678284182305,1.0716551556794442
['33'],['7'],0.08085532910123622,0.2671081677704194,1.071655155679444
"['36', '8', '11']",['14'],0.07283661877714667,0.4029574861367837,1.019485846160096
"['36', '11', '14']",['8'],0.07283661877714667,0.5343137254901961,1.0740100607066199
"['8', '11', '14']",['36'],0.07283661877714667,0.6392961876832844,1.018314789641336
"['36', '8', '14']",['11'],0.07283661877714667,0.5477386934673367,1.0502126262317353
"['8', '11']","['36', '14']",0.07283661877714667,0.2620192307692308,1.0345957225492186
"['36', '14']","['8', '11']",0.07283661877714667,0.287598944591029,1.0345957225492186
"['36', '11']","['8', '14']",0.07283661877714667,0.21330724070450097,1.0397859469520707
"['8', '14']","['36', '11']",0.07283661877714667,0.3550488599348534,1.0397859469520707
"['11', '14']","['36', '8']",0.07283661877714667,0.34768740031897927,1.0806109960069625
"['36', '8']","['11', '14']",0.07283661877714667,0.22637590861889928,1.0806109960069625
"['47', '8', '28']","['36', '38']",0.0688272636151019,0.5852272727272727,1.2063259140996745
"['36', '8', '28']","['47', '38']",0.0688272636151019,0.412,1.1856884615384615
"['47', '8']","['36', '38', '28']",0.0688272636151019,0.30338733431516934,1.2139549353012056
"['47', '36', '38', '28']",['8'],0.0688272636151019,0.555256064690027,1.1161057096153464
"['36', '28']","['47', '38', '8']",0.0688272636151019,0.21548117154811716,1.1877258682201006
"['47', '38', '8', '28']",['36'],0.0688272636151019,0.7079037800687286,1.1275976656443345
"['47', '36', '8']","['38', '28']",0.0688272636151019,0.4567627494456763,1.2044853824589508
"['8', '28']","['47', '36', '38']",0.0688272636151019,0.27540106951871657,1.1980747108568586
"['47', '36']","['38', '8', '28']",0.0688272636151019,0.24037339556592766,1.2298078169723445
"['47', '36', '8', '28']",['38'],0.0688272636151019,0.8477366255144033,1.1202100309777525
"['36', '38', '8']","['47', '28']",0.0688272636151019,0.269281045751634,1.1834921731786203
"['47', '36', '28']","['38', '8']",0.0688272636151019,0.45879732739420936,1.1909630536781166
"['47', '38', '28']","['36', '8']",0.0688272636151019,0.37318840579710144,1.1598680151097867
"['36', '38', '8', '28']",['47'],0.0688272636151019,0.5202020202020202,1.1671399148910395
"['38', '8', '28']","['47', '36']",0.0688272636151019,0.35213675213675216,1.2298078169723445
"['47', '38', '8']","['36', '28']",0.0688272636151019,0.37937384898710863,1.1877258682201006
"['36', '8']","['47', '38', '28']",0.0688272636151019,0.21391484942886813,1.1598680151097867
"['47', '36', '38']","['8', '28']",0.0688272636151019,0.29941860465116277,1.1980747108568586
"['47', '36', '38', '8']",['28'],0.0688272636151019,0.5522788203753352,1.1298499722374424
"['36', '38', '28']","['47', '8']",0.0688272636151019,0.27540106951871657,1.2139549353012058
"['47', '28']","['36', '38', '8']",0.0688272636151019,0.302496328928047,1.1834921731786205
